experiment,split,method,setting,dataset,num_seeds,mIoU_percent,mIoU_seed_std_percent,foreground_mIoU_percent,foreground_mIoU_seed_std_percent,background_IoU_percent,background_IoU_seed_std_percent,foreground_Dice_percent,foreground_Dice_seed_std_percent,AUROC_percent,AUROC_seed_std_percent,absent_FP_area_percent,absent_FP_area_seed_std_percent
exp1,internal_unused_source,MaskCLIP,original_ngsc,BUSI,1,63.56759746157641,,31.401242428924075,,95.73395249422875,,43.416570878868924,,,,2.9541457246883107,
exp1,internal_unused_source,MaskCLIP,original_ngsc,BrainMRI,1,36.57761341156591,,17.81140788603165,,92.87622998816869,,31.87624575378369,,,,2.1117217505156107,
exp1,internal_unused_source,MaskCLIP,original_ngsc,ColonDB,1,57.43694649558486,,25.40260138187772,,89.47129160929201,,37.74310178562988,,,,,
exp1,internal_unused_source,MaskCLIP,original_ngsc,KiTS,1,57.9983552981584,,18.838951889225513,,97.15775870709128,,24.3652910302552,,,,,
exp1,internal_unused_source,MaskCLIP,original_ngsc,macro_average,1,53.89512816672139,,23.363550896514738,,93.80980819969518,,34.35030236213442,,,,2.5329337376019603,
exp1,internal_unused_source,MaskCLIP,core_fixed,BUSI,1,66.31772771695566,,37.5597450610069,,95.07571037290442,,52.283848648383945,,,,3.1882333063657815,
exp1,internal_unused_source,MaskCLIP,core_fixed,BrainMRI,1,34.790622350351356,,15.161451043163328,,93.67813627191545,,28.88302628644376,,,,1.9467592239379883,
exp1,internal_unused_source,MaskCLIP,core_fixed,ColonDB,1,57.42524575389785,,25.39581946039961,,89.45467204739609,,37.737657328509904,,,,,
exp1,internal_unused_source,MaskCLIP,core_fixed,KiTS,1,57.98488570294648,,18.825091846353395,,97.14467955953955,,24.351469211122314,,,,,
exp1,internal_unused_source,MaskCLIP,core_fixed,macro_average,1,54.12962038103784,,24.23552685273081,,93.83829956293889,,35.814000368614984,,,,2.5674962651518847,
exp1,internal_unused_source,MaskCLIP,source_static,BUSI,1,67.13781151898289,,37.997981642958585,,96.27764139500718,,52.40314380848018,,,,2.268277797206198,
exp1,internal_unused_source,MaskCLIP,source_static,BrainMRI,1,37.864681191697656,,18.587369635807708,,95.69661585936751,,33.68503697228881,,,,1.3496423835185036,
exp1,internal_unused_source,MaskCLIP,source_static,ColonDB,1,59.42829164106206,,25.878023149263367,,92.97856013286075,,36.95771883748912,,,,,
exp1,internal_unused_source,MaskCLIP,source_static,KiTS,1,59.602083913258795,,21.298258772251128,,97.90590905426647,,27.061793773514935,,,,,
exp1,internal_unused_source,MaskCLIP,source_static,macro_average,1,56.008217066250346,,25.9404083000702,,95.71468161037548,,37.52692334794327,,,,1.8089600903623506,
exp1,internal_unused_source,MaskCLIP,conditional_grpo,BUSI,3,66.97943467386781,0.0662146344871561,38.1941380514219,0.17004910894083003,95.76473129631373,0.03762001368031355,52.817139606638406,0.17804615509747296,,,2.819443825301487,0.06935972219441934
exp1,internal_unused_source,MaskCLIP,conditional_grpo,BrainMRI,3,39.26295812575762,0.06503277273882646,20.297565561569773,0.07353212534886355,96.15913581832115,0.08750844379759949,35.874791977889245,0.08208215775597709,,,1.3385599525413703,0.034846848917846604
exp1,internal_unused_source,MaskCLIP,conditional_grpo,ColonDB,3,59.44043504039569,0.04455102198296804,25.933163055387254,0.09416605940585099,92.94770702540411,0.00592364176130757,37.0811684526942,0.11640447049111105,,,,
exp1,internal_unused_source,MaskCLIP,conditional_grpo,KiTS,3,58.379497643835066,0.05094607120459511,19.729028897159836,0.025794864051629195,97.0299663905103,0.07623832502661494,25.591339336706444,0.03729932270275961,,,,
exp1,internal_unused_source,MaskCLIP,conditional_grpo,macro_average,3,56.01558137096404,0.012098225443530064,26.038473891384694,0.013486290811355687,95.47538513263733,0.030796458189220464,37.84110984348207,0.011667205060279484,,,2.079001888921429,0.04058689115686094
exp1,internal_unused_source,SCLIP,original_ngsc,BUSI,1,67.94062794855151,,39.920549130914054,,95.96070676618893,,52.24351266418126,,,,0.8177104791667676,
exp1,internal_unused_source,SCLIP,original_ngsc,BrainMRI,1,32.936990196708294,,13.905866014285472,,90.03036274397674,,21.428457637598516,,,,2.7562856674194336,
exp1,internal_unused_source,SCLIP,original_ngsc,ColonDB,1,54.08719613662064,,22.740659723171646,,85.43373255006964,,33.94237607327843,,,,,
exp1,internal_unused_source,SCLIP,original_ngsc,KiTS,1,56.10374811145948,,16.587482166951215,,95.62001405596776,,20.206276606402493,,,,,
exp1,internal_unused_source,SCLIP,original_ngsc,macro_average,1,52.76714059833498,,23.288639258830596,,91.76120402905077,,31.955155745365175,,,,1.7869980732931008,
exp1,internal_unused_source,SCLIP,core_fixed,BUSI,1,66.66471083609721,,39.35628781399909,,93.97313385819535,,51.29977148221645,,,,2.9975746812265562,
exp1,internal_unused_source,SCLIP,core_fixed,BrainMRI,1,35.40853805894793,,16.7088766192493,,91.50752237804384,,27.849983983214095,,,,2.8943097413475836,
exp1,internal_unused_source,SCLIP,core_fixed,ColonDB,1,54.062024272068356,,22.72766113427612,,85.3963874098606,,33.92583531235952,,,,,
exp1,internal_unused_source,SCLIP,core_fixed,KiTS,1,56.08781518653401,,16.566544471470106,,95.60908590159791,,20.1882575933279,,,,,
exp1,internal_unused_source,SCLIP,core_fixed,macro_average,1,53.05577208841188,,23.839842509748653,,91.62153238692443,,33.315962092779486,,,,2.9459422112870697,
exp1,internal_unused_source,SCLIP,source_static,BUSI,1,67.61280134505525,,40.38918037522592,,94.83642231488456,,52.62081942202638,,,,2.5181952722324192,
exp1,internal_unused_source,SCLIP,source_static,BrainMRI,1,38.20050803350916,,19.23165655695077,,95.10706246318433,,31.493114961913943,,,,1.6519927266818373,
exp1,internal_unused_source,SCLIP,source_static,ColonDB,1,58.78971058748914,,25.02286451050954,,92.55655666446873,,35.926519842491615,,,,,
exp1,internal_unused_source,SCLIP,source_static,KiTS,1,57.22052359822315,,17.679422090336423,,96.76162510610989,,21.106209224337213,,,,,
exp1,internal_unused_source,SCLIP,source_static,macro_average,1,55.455885891069165,,25.580780883255667,,94.81541663716189,,35.28666586269229,,,,2.0850939994571283,
exp1,internal_unused_source,SCLIP,conditional_grpo,BUSI,3,67.31825851588292,0.16053786351878258,39.849172032214064,0.2941110033769213,94.78734499955178,0.027998467665094985,52.20840479670087,0.2243901022012695,,,2.5615228631095177,0.022431194521450402
exp1,internal_unused_source,SCLIP,conditional_grpo,BrainMRI,3,38.10144851046932,0.11625892304753416,19.104596484974667,0.1614555191821474,95.09200458695327,0.10170248588066157,30.950370766085655,0.2437080410163146,,,1.7216498578958843,0.026530640068906073
exp1,internal_unused_source,SCLIP,conditional_grpo,ColonDB,3,58.3513783328117,0.04755570332212439,25.229010288776788,0.050578944426749366,91.4737463768466,0.09932312058945965,36.39013050181379,0.06723595298975595,,,,
exp1,internal_unused_source,SCLIP,conditional_grpo,KiTS,3,56.99838304409032,0.00957743999659119,17.316853211420316,0.018828587504084424,96.67991287676033,0.026890632587669057,20.836011391301827,0.021613945965742724,,,,
exp1,internal_unused_source,SCLIP,conditional_grpo,macro_average,3,55.19236710081357,0.07183222310208266,25.374908004346462,0.08980969421283447,94.508252210028,0.061100089324716375,35.09622936397553,0.1016635489360781,,,2.141586360502701,0.024461056548516075
exp1,internal_unused_source,ClearCLIP,original_ngsc,BUSI,1,71.4127796913008,,45.57863637192427,,97.24692301067734,,59.45787975318157,,,,0.35093842657240354,
exp1,internal_unused_source,ClearCLIP,original_ngsc,BrainMRI,1,29.2469860472584,,9.787751438627728,,87.62468987315042,,14.473053154044996,,,,3.3907139479224364,
exp1,internal_unused_source,ClearCLIP,original_ngsc,ColonDB,1,54.68841567908191,,23.33852195782293,,86.03830940034089,,34.74771667349254,,,,,
exp1,internal_unused_source,ClearCLIP,original_ngsc,KiTS,1,57.380207119500135,,19.69361676381751,,95.06679747518277,,25.980326267717242,,,,,
exp1,internal_unused_source,ClearCLIP,original_ngsc,macro_average,1,53.182097134285314,,24.599631633048112,,91.49417993983786,,33.66474396210909,,,,1.8708261872474201,
exp1,internal_unused_source,ClearCLIP,core_fixed,BUSI,1,69.13660166548907,,42.60281772471541,,95.67038560626271,,55.78033039113126,,,,2.931733077168739,
exp1,internal_unused_source,ClearCLIP,core_fixed,BrainMRI,1,30.56397061354177,,10.64417144848367,,90.32336810871605,,20.692407306198245,,,,2.3907149015967524,
exp1,internal_unused_source,ClearCLIP,core_fixed,ColonDB,1,54.65793010453359,,23.325481807398994,,85.99037840166818,,34.7317259195139,,,,,
exp1,internal_unused_source,ClearCLIP,core_fixed,KiTS,1,57.363392434283696,,19.67765043365521,,95.04913443491219,,25.963123829961916,,,,,
exp1,internal_unused_source,ClearCLIP,core_fixed,macro_average,1,52.930473704462024,,24.06253035356332,,91.75831663788979,,34.29189686170133,,,,2.6612239893827456,
exp1,internal_unused_source,ClearCLIP,source_static,BUSI,1,69.82507346943373,,42.720579788931296,,96.92956714993616,,55.894025362297796,,,,1.4785742243943643,
exp1,internal_unused_source,ClearCLIP,source_static,BrainMRI,1,33.47235667885672,,13.309688118563459,,93.96036235973651,,25.124373077869176,,,,1.6209100609395042,
exp1,internal_unused_source,ClearCLIP,source_static,ColonDB,1,58.64236926948989,,24.284525623932684,,93.0002129150471,,34.51977147452591,,,,,
exp1,internal_unused_source,ClearCLIP,source_static,KiTS,1,59.80817991463727,,22.26014322209974,,97.3562166071748,,27.918695432680394,,,,,
exp1,internal_unused_source,ClearCLIP,source_static,macro_average,1,55.4369948331044,,25.643734188381796,,95.31158975797365,,35.86421633684333,,,,1.5497421426669342,
exp1,internal_unused_source,ClearCLIP,conditional_grpo,BUSI,3,69.23824987264226,0.21617420893707823,41.58250190517443,0.40624372925070257,96.89399784011007,0.029231515752844262,55.117494666656754,0.34883262351259403,,,1.5641799636576457,0.04002787121075333
exp1,internal_unused_source,ClearCLIP,conditional_grpo,BrainMRI,3,33.985921002921074,0.01320512346583773,13.987946857217914,0.010320881012350609,93.97984344003054,0.06647958344417194,25.889571874515738,0.061553401602297934,,,1.7569707993844255,0.04376275399014347
exp1,internal_unused_source,ClearCLIP,conditional_grpo,ColonDB,3,58.8658940263771,0.040529483451289115,25.1472470872171,0.027382174901186523,92.58454096553707,0.07215805050452066,35.88290407648223,0.049116116113188044,,,,
exp1,internal_unused_source,ClearCLIP,conditional_grpo,KiTS,3,59.83761832741038,0.007422996330194628,22.179341769315897,0.023680167458878968,97.49589488550487,0.018256514627703578,27.853659792392353,0.007082402330610974,,,,
